,title,release_date,production_budget,domestic_gross,worldwide_gross,genre,story_source,creative_type,production_method,production_company,MPAA_Rating,runtime,opening_theater_count,max_theater_count,avg_run_per_theater,actors,directors
3034,Cop Land,"Aug 15, 1997","$15,000,000","$44,906,632","$63,706,632",Drama,Original Screenplay,Contemporary Fiction,Live Action,Woods Entertainment,All Time Domestic Box Office for R Movies (Rank 501-600),104 minutes,"2,233","2,233",5.7 weeks,,
3035,Wag the Dog,"Dec 25, 1997","$15,000,000","$43,057,470","$64,252,038",Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,New Line Cinema,All Time Domestic Box Office for R Movies (Rank 601-700),105 minutes,3,3,7.9 weeks,,
3036,Snitch,"Feb 21, 2013","$15,000,000","$42,930,462","$57,907,734",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Participant Media,PG-13,95 minutes,"2,511","2,511",5.9 weeks,Dwayne Johnson,Ric Roman Waugh
3037,The Lizzie McGuire Movie,"May 2, 2003","$15,000,000","$42,734,455","$55,534,455",Adventure,Based on TV,Contemporary Fiction,Live Action,,PG,94 minutes,"2,825","2,825",5.0 weeks,,
3038,Krampus,"Dec 2, 2015","$15,000,000","$42,725,475","$61,788,393",Black Comedy,Original Screenplay,Fantasy,Live Action,Legendary Pictures,PG-13,98 minutes,"2,902","2,902",3.6 weeks,Adam Scott,Michael Dougherty
3039,End of Watch,"Sep 20, 2012","$15,000,000","$41,003,371","$57,586,606",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Open Road Films,All Time Domestic Box Office for R Movies (Rank 601-700),109 minutes,"2,730","2,730",4.6 weeks,Jake Gyllenhaal | Michael PeÃ±a,David Ayer
3040,The Faculty,"Dec 25, 1998","$15,000,000","$40,283,321","$40,283,321",Horror,Original Screenplay,Contemporary Fiction,Live Action,,All Time Domestic Box Office for R Movies (Rank 601-700),,"2,365","2,365",6.7 weeks,,
3041,What's Love Got to Do With It,"Jun 9, 1993","$15,000,000","$39,100,956","$39,100,956",Drama,Based on Fiction Book/Short Story,Dramatization,Live Action,,All Time Domestic Box Office for R Movies (Rank 601-700),,58,58,3.4 weeks,,
3042,Not Another Teen Movie,"Dec 14, 2001","$15,000,000","$37,882,551","$62,401,343",All Time Domestic Box Office for Comedy Movies (Rank 401-500),Original Screenplay,Contemporary Fiction,Live Action,Columbia Pictures,All Time Domestic Box Office for R Movies (Rank 701-800),82 minutes,"2,365","2,365",4.9 weeks,,
3043,Wild,"Dec 3, 2014","$15,000,000","$37,880,356","$52,460,543",Drama,Based on Factual Book/Article,Dramatization,Live Action,Pacific Standard,All Time Domestic Box Office for R Movies (Rank 701-800),119 minutes,21,21,5.8 weeks,Reese Witherspoon,Jean-Marc Vallee
3044,Lawrence of Arabia,"Dec 16, 1962","$15,000,000","$37,495,385","$69,995,385",Adventure,Based on Fiction Book/Short Story,Dramatization,Live Action,Columbia Pictures,PG,210 minutes,0,0,0,Peter O'Toole,David Lean
3045,The Theory of Everything,"Nov 7, 2014","$15,000,000","$35,893,537","$123,327,692",Drama,Based on Factual Book/Article,Dramatization,Live Action,Working Title Films,PG-13,123 minutes,5,5,8.9 weeks,Eddie Redmayne | Felicity Jones,James Marsh
3046,Drive,"Sep 16, 2011","$15,000,000","$35,060,689","$81,357,930",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Bold Films,All Time Domestic Box Office for R Movies (Rank 701-800),100 minutes,"2,886","2,886",3.8 weeks,Ryan Gosling,Nicolas Winding Refn
3047,The Skulls,"Mar 31, 2000","$15,000,000","$35,007,180","$35,007,180",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,,"2,412","2,412",5.1 weeks,,
3048,Hawaii,"Oct 10, 1966","$15,000,000","$34,562,222","$34,562,222",Drama,,,,,Not Rated,189 minutes,0,0,0,,
3049,The Favourite,"Nov 23, 2018","$15,000,000","$34,366,783","$94,069,024",Black Comedy,Based on Real Life Events,Dramatization,Live Action,Element Pictures,All Time Domestic Box Office for R Movies (Rank 701-800),119 minutes,4,4,6.2 weeks,Olivia Colman,Yorgos Lanthimos
3050,Malibu's Most Wanted,"Apr 18, 2003","$15,000,000","$34,308,901","$34,499,204",All Time Domestic Box Office for Comedy Movies (Rank 501-600),Based on TV,Contemporary Fiction,Live Action,Karz Entertainment,PG-13,86 minutes,"2,503","2,503",4.5 weeks,,
3051,All About Steve,"Sep 4, 2009","$15,000,000","$33,862,903","$40,127,259",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Fortis Films,PG-13,99 minutes,"2,251","2,251",5.6 weeks,Sandra Bullock | Thomas Haden Church | Bradley Cooper,Phil Traill
3052,Where the Heart Is,"Apr 28, 2000","$15,000,000","$33,771,174","$40,862,054",Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,PG-13,,"2,437","2,437",6.1 weeks,,
3053,Halloween 2,"Aug 28, 2009","$15,000,000","$33,392,973","$38,512,850",Horror,Original Screenplay,Fantasy,Live Action,Malek Akkad,All Time Domestic Box Office for R Movies (Rank 801-900),105 minutes,"3,025","3,025",3.9 weeks,Malcolm McDowell,Rob Zombie
3054,The Last House on the Left,"Mar 13, 2009","$15,000,000","$32,752,215","$46,526,243",Horror,All Time Domestic Box Office for Remake Movies (Rank 101-200),Contemporary Fiction,Live Action,Rogue Pictures,All Time Domestic Box Office for R Movies (Rank 801-900),110 minutes,"2,401","2,401",4.1 weeks,,
3055,Because of Winn-Dixie,"Feb 18, 2005","$15,000,000","$32,647,042","$33,508,485",All Time Domestic Box Office for Comedy Movies (Rank 501-600),Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Walden Media,PG,106 minutes,"3,188","3,188",4.5 weeks,,
3056,The Wedding Date,"Feb 4, 2005","$15,000,000","$31,726,995","$47,175,038",Romantic Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Gold Circle Films,PG-13,,"1,695","1,695",4.6 weeks,,
3057,The Princess Bride,"Sep 25, 1987","$15,000,000","$30,857,000","$30,873,940",Adventure,Based on Fiction Book/Short Story,Fantasy,Live Action,,PG,98 minutes,9,9,7.2 weeks,,
3058,Halloween: Resurrection,"Jul 12, 2002","$15,000,000","$30,259,652","$37,659,652",Horror,,Contemporary Fiction,Live Action,,All Time Domestic Box Office for R Movies (Rank 801-900),,"1,954","1,954",4.2 weeks,,
3059,The Great Debaters,"Dec 25, 2007","$15,000,000","$30,226,144","$30,261,293",Drama,Based on Real Life Events,Dramatization,Live Action,Harpo Films,PG-13,123 minutes,"1,171","1,171",4.7 weeks,,
3060,When the Game Stands Tall,"Aug 22, 2014","$15,000,000","$30,127,963","$30,138,912",Drama,Based on Factual Book/Article,Contemporary Fiction,Live Action,Mandalay Sports Media,PG,114 minutes,"2,673","2,673",5.0 weeks,James Caviezel | Alexander Ludwig,Thomas Carter
3061,Clash of the Titans,"Jun 12, 1981","$15,000,000","$30,000,000","$44,400,000",Adventure,Based on Folk Tale/Legend/Fairytale,Fantasy,Live Action,Metro-Goldwyn-Mayer Pictures,,118 minutes,0,0,0,,
3062,Confessions of a Teenage Drama Queen,"Feb 20, 2004","$15,000,000","$29,331,068","$33,118,854",All Time Domestic Box Office for Comedy Movies (Rank 501-600),Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,PG,89 minutes,"2,503","2,503",4.8 weeks,,
3063,The Object of my Affection,"Apr 17, 1998","$15,000,000","$29,145,924","$29,145,924",Romantic Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 901-1,000)",111 minutes,"1,890","1,890",5.7 weeks,,
3064,28 Weeks Later,"May 11, 2007","$15,000,000","$28,638,916","$64,232,714",Horror,Original Screenplay,Science Fiction,Live Action,Fox Atomic,"All Time Domestic Box Office for R Movies (Rank 901-1,000)",100 minutes,"2,303","2,303",3.9 weeks,,
3065,Grosse Pointe Blank,"Apr 11, 1997","$15,000,000","$28,084,357","$31,070,412",Black Comedy,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 901-1,000)",,"1,227","1,227",7.5 weeks,,
3066,Love and Basketball,"Apr 21, 2000","$15,000,000","$27,441,122","$27,709,625",Drama,Original Screenplay,Historical Fiction,Live Action,,PG-13,,"1,237","1,237",6.4 weeks,,
3067,Home Again,"Sep 8, 2017","$15,000,000","$27,020,284","$37,336,874",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Open Road Films,PG-13,97 minutes,"2,940","2,940",4.2 weeks,Reese Witherspoon,Hallie Meyers-Shyer
3068,Book of Shadows: Blair Witch 2,"Oct 27, 2000","$15,000,000","$26,421,314","$47,721,314",Horror,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 901-1,000)",,"3,317","3,317",3.2 weeks,,
3069,Boogie Nights,"Oct 10, 1997","$15,000,000","$26,410,771","$43,111,725",Drama,Original Screenplay,Historical Fiction,Live Action,New Line Cinema,"All Time Domestic Box Office for R Movies (Rank 901-1,000)",155 minutes,2,2,7.6 weeks,,
3070,Ramona and Beezus,"Jul 23, 2010","$15,000,000","$26,167,002","$27,469,621",Adventure,Based on Fiction Book/Short Story,Kids Fiction,Live Action,Fox 2000 Pictures,G,103 minutes,"2,719","2,719",3.6 weeks,Joey King | Selena Gomez,Elizabeth Allen
3071,The November Man,"Aug 27, 2014","$15,000,000","$25,018,119","$34,820,335",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Irish Dreamtime,"All Time Domestic Box Office for R Movies (Rank 1,001-1,100)",108 minutes,"2,776","2,776",3.8 weeks,Pierce Brosnan | Luke Bracey | Olga Kurylenko,Roger Donaldson
3072,The Craft,"May 3, 1996","$15,000,000","$24,769,466","$55,669,466",Thriller/Suspense,Original Screenplay,Fantasy,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,001-1,100)",101 minutes,"1,757","1,757",6.6 weeks,,
3073,Match Point,"Dec 28, 2005","$15,000,000","$23,089,926","$87,973,835",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,001-1,100)",,8,8,8.2 weeks,,
3074,The Remains of the Day,"Nov 5, 1993","$15,000,000","$22,954,968","$63,954,968",Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,Columbia Pictures,PG,,0,0,0,,
3075,Nowhere to Run,"Jan 15, 1993","$15,000,000","$22,189,039","$52,189,039",Action,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,101-1,200)",94 minutes,"1,745","1,745",3.4 weeks,,
3076,Urban Legends: Final Cut,"Sep 22, 2000","$15,000,000","$21,468,807","$38,574,362",Horror,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,101-1,200)",99 minutes,"2,539","2,539",4.6 weeks,,
3077,The Place Beyond the Pines,"Mar 20, 2013","$15,000,000","$21,403,519","$47,011,449",Drama,Original Screenplay,Contemporary Fiction,Live Action,Sidney Kimmel Entertainment,"All Time Domestic Box Office for R Movies (Rank 1,101-1,200)",140 minutes,4,4,4.0 weeks,Ryan Gosling | Bradley Cooper | Eva Mendes,Derek Cianfrance
3078,Flicka,"Oct 20, 2006","$15,000,000","$21,000,147","$21,896,367",Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Fox 2000 Pictures,PG,95 minutes,"2,877","2,877",3.9 weeks,,
3079,The Hills Have Eyes II,"Mar 23, 2007","$15,000,000","$20,804,166","$37,466,538",Horror,All Time Domestic Box Office for Remake Movies (Rank 101-200),Fantasy,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,101-1,200)",89 minutes,"2,447","2,447",2.9 weeks,,
3080,Keanu,"Apr 29, 2016","$15,000,000","$20,591,853","$20,688,141",All Time Domestic Box Office for Comedy Movies (Rank 701-800),Original Screenplay,Contemporary Fiction,Animation/Live Action,New Line Cinema,"All Time Domestic Box Office for R Movies (Rank 1,101-1,200)",98 minutes,"2,658","2,658",3.2 weeks,Jordan Peele | Keegan-Michael Key,Peter Atencio
3081,Country Strong,"Dec 22, 2010","$15,000,000","$20,218,921","$20,601,987",Drama,Original Screenplay,Contemporary Fiction,Live Action,Material Pictures,PG-13,120 minutes,2,2,4.8 weeks,Gwyneth Paltrow | Tim McGraw | Garrett Hedlund | Leighton Meester,Shana Feste
3082,Tuck Everlasting,"Oct 11, 2002","$15,000,000","$19,161,999","$19,344,615",Drama,Based on Fiction Book/Short Story,Kids Fiction,Live Action,,PG,96 minutes,"1,185","1,185",5.4 weeks,,
3083,The Marine,"Oct 13, 2006","$15,000,000","$18,844,784","$22,165,608",Action,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,,"2,545","2,545",3.7 weeks,,
3084,Disturbing Behavior,"Jul 24, 1998","$15,000,000","$17,507,368","$19,014,238",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Village Roadshow Productions,"All Time Domestic Box Office for R Movies (Rank 1,301-1,400)",,"1,842","1,842",3.3 weeks,,
3085,The Big Lebowski,"Mar 6, 1998","$15,000,000","$17,498,804","$46,189,568",All Time Domestic Box Office for Comedy Movies (Rank 801-900),Original Screenplay,Contemporary Fiction,Live Action,Working Title Films,"All Time Domestic Box Office for R Movies (Rank 1,301-1,400)",127 minutes,"1,207","1,207",4.5 weeks,,
3086,A Most Wanted Man,"Jul 25, 2014","$15,000,000","$17,237,855","$36,068,890",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Lionsgate,"All Time Domestic Box Office for R Movies (Rank 1,301-1,400)",121 minutes,361,361,5.7 weeks,Philip Seymour Hoffman | Rachel McAdams | Willem Dafoe | Robin Wright,Anton Corbijn
3087,The Hurt Locker,"Jun 26, 2009","$15,000,000","$17,017,811","$49,894,223",Drama,Original Screenplay,Contemporary Fiction,Live Action,Voltage Pictures,"All Time Domestic Box Office for R Movies (Rank 1,301-1,400)",130 minutes,4,4,7.1 weeks,,
3088,Eye of the Beholder,"Jan 28, 2000","$15,000,000","$16,500,786","$18,260,865",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Village Roadshow Productions,"All Time Domestic Box Office for R Movies (Rank 1,301-1,400)",,"1,751","1,751",2.7 weeks,,
3089,The Man with the Iron Fists,"Nov 2, 2012","$15,000,000","$15,634,090","$22,018,988",Action,Original Screenplay,Contemporary Fiction,Live Action,Universal Pictures,"All Time Domestic Box Office for R Movies (Rank 1,301-1,400)",95 minutes,"1,868","1,868",2.8 weeks,Russell Crowe | RZA | Lucy Liu* | Rick Yune | Jamie Chung | Cung Le | Dave Bautista,RZA
3090,Firestarter,"May 11, 1984","$15,000,000","$15,136,870","$15,136,870",Horror,Based on Fiction Book/Short Story,Science Fiction,Live Action,,,,"1,356","1,356",3.8 weeks,,
3091,Miss Bala,"Jan 30, 2019","$15,000,000","$14,998,027","$15,364,632",Action,All Time Domestic Box Office for Remake Movies (Rank 101-200),Contemporary Fiction,Live Action,Columbia Pictures,PG-13,104 minutes,"2,203","2,203",2.9 weeks,Gina Rodriguez,Catherine Hardwicke
3092,Killing Them Softly,"Sep 21, 2012","$15,000,000","$14,945,541","$39,238,443",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Metropolitan Films,"All Time Domestic Box Office for R Movies (Rank 1,401-1,500)",97 minutes,"2,424","2,424",2.7 weeks,Brad Pitt,Andrew Dominik
3093,Freddy Got Fingered,"Apr 20, 2001","$15,000,000","$14,249,005","$14,249,005","All Time Domestic Box Office for Comedy Movies (Rank 901-1,000)",Original Screenplay,Contemporary Fiction,Live Action,Regency Enterprises,"All Time Domestic Box Office for R Movies (Rank 1,401-1,500)",,"2,271","2,271",3.3 weeks,,
3094,One Day,"Jun 23, 2011","$15,000,000","$13,843,771","$59,168,692",Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Random House Films,PG-13,107 minutes,"1,721","1,721",3.1 weeks,Anne Hathaway | Jim Sturgess,Lone Scherfig
3095,De-Lovely,"Jun 25, 2004","$15,000,000","$13,337,299","$18,524,496",Drama,Based on Real Life Events,Historical Fiction,Live Action,,PG-13,,0,0,0,,
3096,Whip It,"Oct 2, 2009","$15,000,000","$13,077,184","$18,889,972","All Time Domestic Box Office for Comedy Movies (Rank 901-1,000)",Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Fox Searchlight Pictures,PG-13,111 minutes,"1,721","1,721",3.5 weeks,Ellen Page,Drew Barrymore
3097,The Pirates Who Don't Do Anything: A VeggieTale…,"Jan 11, 2008","$15,000,000","$12,981,269","$13,248,444",Adventure,Based on Short Film,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),Universal Films,G,85 minutes,"1,337","1,337",4.6 weeks,,
3098,U2 3D,"Jan 23, 2008","$15,000,000","$12,898,847","$26,170,402",Concert/Performance,Based on Real Life Events,Factual,Live Action,,G,85 minutes,61,61,3.2 weeks,"Bono | The Edge | Adam Clayton | Larry Mullen, Jr.",Catherine Owens | Mark Pellington
3099,Highlander: Endgame,"Sep 1, 2000","$15,000,000","$12,801,190","$12,801,190",Action,Original Screenplay,Fantasy,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,501-1,600)",,"1,543","1,543",4.8 weeks,,
3100,The Founder,"Nov 25, 2016","$15,000,000","$12,786,053","$24,403,192",Drama,Based on Real Life Events,Dramatization,Live Action,FilmNation Entertainment,PG-13,115 minutes,"1,115","1,115",3.9 weeks,Michael Keaton,John Lee Hancock
3101,Idlewild,"Aug 25, 2006","$15,000,000","$12,669,914","$12,669,914",Musical,Original Screenplay,Historical Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,501-1,600)",,973,973,3.7 weeks,,
3102,Confidence,"Apr 25, 2003","$15,000,000","$12,212,417","$12,212,417",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,501-1,600)",,"1,871","1,871",2.9 weeks,,
3103,Blinded by the Light,"Aug 9, 2019","$15,000,000","$11,901,145","$18,000,006",Drama,Based on Real Life Events,Dramatization,Live Action,New Line Cinema,PG-13,114 minutes,"2,307","2,307",3.2 weeks,Viveik Kalra,Gurinder Chadha
3104,Knockaround Guys,"Oct 11, 2002","$15,000,000","$11,660,180","$12,419,700",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,601-1,700)",,"1,806","1,806",2.9 weeks,,
3105,The Muse,"Aug 27, 1999","$15,000,000","$11,614,954","$11,614,954","All Time Domestic Box Office for Comedy Movies (Rank 1,001-1,100)",Original Screenplay,Contemporary Fiction,Live Action,Crosby Films,PG-13,97 minutes,"1,263","1,263",3.8 weeks,,
3106,Barney's Great Adventure,"Apr 3, 1998","$15,000,000","$11,156,471","$11,156,471",Adventure,Based on TV,Kids Fiction,Live Action,,G,,540,540,8.6 weeks,,
3107,New York Stories,"Mar 1, 1989","$15,000,000","$10,763,469","$10,763,469",Drama,Original Screenplay,Contemporary Fiction,Live Action,,PG,,0,0,0,,
3108,Home Fries,"Nov 25, 1998","$15,000,000","$10,513,979","$10,513,979",Black Comedy,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,91 minutes,"1,925","1,925",3.8 weeks,,
3109,Here on Earth,"Mar 24, 2000","$15,000,000","$10,494,147","$10,845,127",Drama,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,,"1,714","1,714",3.3 weeks,,
3110,Raise Your Voice,"Oct 8, 2004","$15,000,000","$10,411,980","$14,811,980",Drama,Original Screenplay,Contemporary Fiction,Live Action,,PG,,"2,521","2,521",3.0 weeks,,
3111,Brazil,"Dec 18, 1985","$15,000,000","$9,929,135","$9,932,146",Black Comedy,Original Screenplay,Fantasy,Live Action,Regency Enterprises,"All Time Domestic Box Office for R Movies (Rank 1,701-1,800)",132 minutes,1,1,4.7 weeks,,
3112,The Dark Half,"Apr 23, 1993","$15,000,000","$9,579,068","$9,579,068",Horror,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,701-1,800)",121 minutes,"1,563","1,563",2.0 weeks,,
3113,Black Snake Moan,"Mar 2, 2007","$15,000,000","$9,396,870","$10,951,153",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,701-1,800)",118 minutes,"1,252","1,252",3.0 weeks,,
3114,Dark Blue,"Feb 21, 2003","$15,000,000","$9,237,470","$12,262,065",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,701-1,800)",,"2,176","2,176",2.8 weeks,,
3115,A Mighty Heart,"Jun 22, 2007","$15,000,000","$9,176,787","$19,153,568",Drama,Based on Fiction Book/Short Story,Dramatization,Live Action,Plan B Entertainment,"All Time Domestic Box Office for R Movies (Rank 1,701-1,800)",108 minutes,"1,355","1,355",2.8 weeks,,
3116,Brainstorm,"Sep 30, 1983","$15,000,000","$8,921,050","$8,921,050",Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,Live Action,,,,169,169,6.1 weeks,,
3117,Queen of Katwe,"Sep 23, 2016","$15,000,000","$8,874,389","$10,055,481",Drama,Based on Factual Book/Article,Dramatization,Live Action,Walt Disney Pictures,PG,90 minutes,52,52,3.8 weeks,Lupita Nyong'o | Madina Nalwanga | David Oyelowo,Mira Nair
3118,Whatever it Takes,"Mar 24, 2000","$15,000,000","$8,735,529","$8,735,529",Romantic Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,PG-13,,"2,272","2,272",2.7 weeks,,
3119,Boat Trip,"Mar 21, 2003","$15,000,000","$8,586,376","$14,933,713","All Time Domestic Box Office for Comedy Movies (Rank 1,101-1,200)",Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,801-1,900)",,"1,714","1,714",2.5 weeks,,
3120,The Importance of Being Earnest,"May 22, 2002","$15,000,000","$8,378,141","$8,378,141","All Time Domestic Box Office for Comedy Movies (Rank 1,101-1,200)",Based on Play,Historical Fiction,Live Action,,PG,97 minutes,38,38,11.3 weeks,,
3121,The Love Letter,"May 21, 1999","$15,000,000","$8,322,608","$9,010,980",Romantic Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,PG-13,,769,769,5.6 weeks,,
3122,Hoot,"May 5, 2006","$15,000,000","$8,117,637","$8,224,998",Adventure,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,PG,91 minutes,"3,018","3,018",2.4 weeks,,
3123,In Bruges,"Feb 8, 2008","$15,000,000","$7,800,825","$34,533,783","All Time Domestic Box Office for Comedy Movies (Rank 1,101-1,200)",Original Screenplay,Contemporary Fiction,Live Action,Focus Features,"All Time Domestic Box Office for R Movies (Rank 1,801-1,900)",107 minutes,28,28,9.8 weeks,,
3124,Promised Land,"Jan 4, 2013","$15,000,000","$7,597,898","$12,394,562",Drama,Original Screenplay,Historical Fiction,Live Action,Focus Features,"All Time Domestic Box Office for R Movies (Rank 1,801-1,900)",106 minutes,25,25,2.1 weeks,Matt Damon,Gus Van Sant
3125,Mulholland Drive,"Oct 8, 2001","$15,000,000","$7,219,578","$20,785,973",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,901-2,000)",87 minutes,66,66,9.6 weeks,,
3126,Hotel Artemis,"Jun 7, 2018","$15,000,000","$6,708,137","$13,316,627",Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,Ink Factory,"All Time Domestic Box Office for R Movies (Rank 1,901-2,000)",97 minutes,"2,407","2,407",2.1 weeks,Jodie Foster | Sterling K. Brown | Sofia Boutella | Jeff Goldblum | Brian Tyree Henry | Jenny Slate | Zachary Quinto | Charlie Day | Dave Bautista,Drew Pearce
3127,The Rocker,"Aug 20, 2008","$15,000,000","$6,409,528","$8,767,338","All Time Domestic Box Office for Comedy Movies (Rank 1,201-1,300)",Original Screenplay,Contemporary Fiction,Live Action,21 Laps Entertainment,PG-13,102 minutes,"2,784","2,784",2.3 weeks,,
3128,Post Grad,"Aug 21, 2009","$15,000,000","$6,382,178","$6,563,402",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Fox Atomic,PG-13,88 minutes,"1,959","1,959",2.5 weeks,Alexis Bledel,Vicky Jenson
3129,Whatever Works,"Jun 19, 2009","$15,000,000","$5,306,706","$35,106,706",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,92 minutes,9,9,4.4 weeks,,
3130,The In Crowd,"Jul 19, 2000","$15,000,000","$5,217,498","$5,217,498",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,105 minutes,"1,357","1,357",2.4 weeks,,
3131,Los tres entierros de Melquiades Estrada,"Dec 14, 2005","$15,000,000","$5,027,684","$13,454,474",Drama,Original Screenplay,Historical Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,101-2,200)",,5,5,5.8 weeks,,
3132,Jakob the Liar,"Sep 24, 1999","$15,000,000","$4,956,401","$4,956,401",Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,,PG-13,,"1,200","1,200",3.3 weeks,,
3133,Se jie,"Sep 28, 2007","$15,000,000","$4,604,982","$65,167,430",Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,,NC-17,158 minutes,1,1,6.4 weeks,,
3134,"Kiss Kiss, Bang Bang","Oct 21, 2005","$15,000,000","$4,235,837","$16,829,464","All Time Domestic Box Office for Comedy Movies (Rank 1,301-1,400)",Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,"LAPI Productions, Inc.","All Time Domestic Box Office for R Movies (Rank 2,201-2,300)",102 minutes,8,8,5.1 weeks,"Robert Downey, Jr. | Val Kilmer | Michelle Monaghan",Shane Black
3135,Idle Hands,"Apr 30, 1999","$15,000,000","$4,023,741","$4,023,741",Horror,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,201-2,300)",,"1,611","1,611",3.2 weeks,,
3136,Scouts Guide to the Zombie Apocalypse,"Oct 29, 2015","$15,000,000","$3,703,046","$15,554,855","All Time Domestic Box Office for Comedy Movies (Rank 1,401-1,500)",Original Screenplay,Fantasy,Live Action,Paramount Pictures,"All Time Domestic Box Office for R Movies (Rank 2,201-2,300)",93 minutes,"1,509","1,509",2.0 weeks,Tye Sheridan | Halston Sage | Logan Miller | Sarah Dumont | Patrick Schwarzenegger,Christopher Landon
3137,Blood and Chocolate,"Jan 26, 2007","$15,000,000","$3,526,588","$6,551,310",Horror,Based on Fiction Book/Short Story,Fantasy,Live Action,Lakeshore Entertainment,PG-13,98 minutes,"1,200","1,200",2.6 weeks,,
3138,You Will Meet a Tall Dark Stranger,"Sep 22, 2010","$15,000,000","$3,247,816","$34,247,816",Drama,Original Screenplay,Contemporary Fiction,Live Action,Mediapro,"All Time Domestic Box Office for R Movies (Rank 2,301-2,400)",98 minutes,6,6,3.4 weeks,Gemma Jones | Anthony Hopkins | Naomi Watts | Josh Brolin | Freida Pinto | Antonio Banderas | Lucy Punch,Woody Allen
3139,Rock the Kasbah,"Oct 23, 2015","$15,000,000","$3,020,665","$3,386,153","All Time Domestic Box Office for Comedy Movies (Rank 1,401-1,500)",Original Screenplay,Contemporary Fiction,Live Action,Open Road Films,"All Time Domestic Box Office for R Movies (Rank 2,401-2,500)",106 minutes,"2,012","2,012",2.3 weeks,Bill Murray,Barry Levinson
